dataset,period_id,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,ge_max_zone_rate,exact_fee_cents,honest_paid_fee_cents,moving_honest_paid_fee_cents,strategic_min_fee_cents,honest_penalty,honest_penalty_moving_only,withholding_gain,n_intervals,n_honest_outage_intervals,n_moving_honest_outage_intervals,n_strategic_declared_intervals,honest_outage_source,honest_outage_actual_distance_m,honest_outage_charged_distance_m,honest_outage_movement_ratio,honest_outage_dwell_edge_share,moving_outage_actual_distance_m,moving_outage_charged_distance_m,moving_outage_movement_ratio,moving_outage_dwell_edge_share,speed_bound_ok,honest_min_speed_bound_slack_m,strategic_min_speed_bound_slack_m
rome,rome:60:24-0-s50:p0,1,12,False,9448,30855,24823,7060,2.265770533446232,1.6273285351397122,0.2527519051651143,24,12,9,1,derived_from_native_gap_count,298,24387,0.01221962521015295,0.25,294,18315,0.016052416052416054,0.0,True,1932,1616
rome,rome:60:24-0-s50:p1,1,12,False,2720,26846,12716,2720,8.86985294117647,3.675,0.0,24,12,5,0,derived_from_native_gap_count,135,25476,0.0052991050400376825,0.5833333333333334,96,10956,0.008762322015334063,0.0,True,1986,
rome,rome:60:24-0-s50:p2,1,12,False,770,26973,3115,770,34.02987012987013,3.0454545454545454,0.0,24,12,1,0,derived_from_native_gap_count,23,26433,0.0008701244656300836,0.9166666666666666,13,2475,0.0052525252525252525,0.0,True,2046,
rome,rome:60:24-0-s50:p3,1,12,False,1350,19675,5162,1350,13.574074074074074,2.823703703703704,0.0,24,9,2,0,derived_from_native_gap_count,65,18975,0.0034255599472990776,0.7777777777777778,28,4092,0.006842619745845552,0.0,True,2000,
rome,rome:60:24-0-s50:p4,1,12,False,2260,24357,11503,2260,9.777433628318583,4.0898230088495575,0.0,24,10,4,0,derived_from_native_gap_count,97,23067,0.004205141544197338,0.6,69,9933,0.00694654183026276,0.0,True,2009,
rome,rome:60:243-0-s57:p0,1,12,False,5340,7353,5340,4464,0.37696629213483146,,0.16404494382022472,24,1,0,1,derived_from_native_gap_count,0,2013,0.0,1.0,,,,,True,2013,1742
rome,rome:60:243-0-s91:p0,1,12,False,8116,10129,8116,6496,0.2480285855101035,,0.1996057171020207,24,1,0,1,derived_from_native_gap_count,0,2013,0.0,1.0,,,,,True,2013,1680
rome,rome:60:243-0-s91:p1,1,12,False,2430,10205,6209,2430,3.1995884773662553,1.5551440329218107,0.0,24,4,2,0,derived_from_native_gap_count,31,8085,0.00383426097711812,0.5,28,4059,0.006898250800689825,0.0,True,1998,
rome,rome:60:243-0-s94:p0,1,12,False,8756,14558,10609,6632,0.6626313385107355,0.21162631338510735,0.2425765189584285,24,3,1,1,derived_from_native_gap_count,27,6072,0.004446640316205534,0.6666666666666666,16,2013,0.007948335817188276,0.0,True,1997,1638
rome,rome:60:249-0-s139:p0,1,12,False,29036,35249,29318,21437,0.21397575423612067,0.009712081553933048,0.2617096018735363,24,5,2,6,derived_from_native_gap_count,321,10065,0.03189269746646796,0.6,312,4026,0.07749627421758569,0.0,True,1830,1357
rome,rome:60:254-0-s329:p0,1,12,False,7670,21733,14161,5632,1.8335071707953063,0.8462842242503259,0.2657105606258149,24,7,4,1,derived_from_native_gap_count,214,16203,0.013207430722705672,0.42857142857142855,199,8481,0.023464214125692724,0.0,True,1904,1103
rome,rome:60:256-0-s375:p0,1,12,False,8940,17742,11787,8052,0.9845637583892617,0.31845637583892616,0.09932885906040269,24,5,2,1,derived_from_native_gap_count,108,10098,0.0106951871657754,0.6,101,4059,0.024882976102488297,0.0,True,1966,1741
rome,rome:60:257-0-s123:p0,1,12,False,7824,19218,9273,5202,1.4562883435582823,0.1851993865030675,0.3351226993865031,24,6,1,2,derived_from_native_gap_count,57,12078,0.004719324391455539,0.8333333333333334,47,2013,0.02334823646299056,0.0,True,1966,1570
rome,rome:60:257-0-s123:p1,1,12,False,15648,34485,22308,8016,1.2037960122699387,0.4256134969325153,0.48773006134969327,24,9,4,2,derived_from_native_gap_count,127,20361,0.006237414665291489,0.5555555555555556,116,8052,0.014406358668653751,0.0,True,1982,1464
rome,rome:60:260-0-s115:p0,1,12,False,26718,41044,30910,13510,0.5361928288045512,0.1568979714050453,0.4943483793697133,24,9,4,4,derived_from_native_gap_count,370,18348,0.020165685633311534,0.5555555555555556,367,8184,0.0448435972629521,0.0,True,1866,1301
rome,rome:60:260-0-s14:p0,1,12,False,5412,13257,5289,4473,1.4495565410199556,-0.022727272727272728,0.17350332594235032,24,5,1,2,derived_from_native_gap_count,185,10065,0.01838052657724789,0.8,178,2013,0.08842523596621957,0.0,True,1835,1747
rome,rome:60:268-0-s46:p0,1,12,False,9360,19434,9360,6636,1.0762820512820512,,0.29102564102564105,24,5,0,2,derived_from_native_gap_count,2,10098,0.00019805902158843335,1.0,,,,,True,2011,1693
rome,rome:60:275-0-s235:p0,1,12,False,7980,9390,9390,6462,0.17669172932330826,0.17669172932330826,0.19022556390977444,24,1,1,1,derived_from_native_gap_count,53,2046,0.025904203323558164,0.0,53,2046,0.025904203323558164,0.0,True,1993,1628
rome,rome:60:275-0-s290:p0,1,12,False,4500,6225,6225,4500,0.38333333333333336,0.38333333333333336,0.0,24,1,1,0,derived_from_native_gap_count,24,2013,0.011922503725782414,0.0,24,2013,0.011922503725782414,0.0,True,1989,
rome,rome:60:275-0-s376:p0,1,12,False,23030,28199,28199,13923,0.22444637429439862,0.22444637429439862,0.3954407294832827,24,3,3,4,derived_from_native_gap_count,78,6105,0.012776412776412777,0.0,78,6105,0.012776412776412777,0.0,True,1976,1504
rome,rome:60:289-0-s12:p0,1,12,False,10680,22995,20949,8157,1.1530898876404494,0.9615168539325842,0.23623595505617978,24,7,6,1,derived_from_native_gap_count,170,14355,0.011842563566701497,0.14285714285714285,170,12309,0.01381103257778861,0.0,True,1987,1272
rome,rome:60:289-0-s30:p0,1,12,False,5280,21873,19980,5280,3.1426136363636363,2.784090909090909,0.0,24,9,8,0,derived_from_native_gap_count,127,18117,0.007009990616547994,0.1111111111111111,117,16104,0.007265275707898659,0.0,True,1995,
rome,rome:60:289-0-s77:p0,1,12,False,14484,27243,25230,8772,0.8809030654515327,0.7419221209610605,0.39436619718309857,24,7,6,2,derived_from_native_gap_count,122,14223,0.008577655909442452,0.14285714285714285,122,12210,0.009991809991809993,0.0,True,1985,1381
rome,rome:60:289-0-s94:p0,1,12,False,20172,30816,22755,12042,0.5276621058893516,0.12804878048780488,0.40303390838786435,24,7,3,5,derived_from_native_gap_count,290,14124,0.020532427074483148,0.5714285714285714,288,6039,0.04769001490312966,0.0,True,1817,1499
rome,rome:60:290-0-s103:p0,1,12,False,23776,29479,25453,12672,0.23986372812920592,0.07053331090174966,0.4670255720053836,24,3,1,4,derived_from_native_gap_count,28,6039,0.004636529226693161,0.6666666666666666,28,2013,0.013909587680079483,0.0,True,1985,1500
rome,rome:60:290-0-s103:p1,1,12,False,2052,9792,3753,2052,3.7719298245614037,0.8289473684210527,0.0,24,4,1,0,derived_from_native_gap_count,26,8052,0.003229011425732737,0.75,26,2013,0.012916045702930949,0.0,True,1987,
rome,rome:60:290-0-s119:p0,1,12,False,2556,10341,4386,2556,3.045774647887324,0.715962441314554,0.0,24,4,1,0,derived_from_native_gap_count,25,8085,0.0030921459492888066,0.75,18,2046,0.008797653958944282,0.0,True,2006,
rome,rome:60:290-0-s34:p0,1,12,False,2940,14106,8271,2940,3.7979591836734694,1.813265306122449,0.0,24,6,3,0,derived_from_native_gap_count,76,12078,0.006292432521940719,0.5,59,6039,0.00976982944196059,0.0,True,1985,
rome,rome:60:290-0-s36:p0,1,12,False,3036,16461,12519,3036,4.42193675889328,3.1235177865612647,0.0,24,7,5,0,derived_from_native_gap_count,83,14421,0.00575549545801262,0.2857142857142857,76,10395,0.007311207311207311,0.0,True,1991,
rome,rome:60:290-0-s36:p1,1,12,False,4776,8451,6546,4776,0.7694723618090452,0.3706030150753769,0.0,24,2,1,0,derived_from_native_gap_count,32,4059,0.007883715200788372,0.5,23,2046,0.011241446725317693,0.0,True,2004,
rome,rome:60:290-0-s36:p2,1,12,False,5712,18333,16320,5712,2.2095588235294117,1.8571428571428572,0.0,24,7,6,0,derived_from_native_gap_count,128,14157,0.009041463586918132,0.14285714285714285,128,12144,0.010540184453227932,0.0,True,1979,
rome,rome:60:293-0-s42:p0,1,12,False,5340,14337,8298,4728,1.6848314606741572,0.553932584269663,0.1146067415730337,24,5,2,1,derived_from_native_gap_count,89,10065,0.008842523596621958,0.6,89,4026,0.022106308991554892,0.0,True,1950,1764
