n,t,tier,budget,c_anchor,c_vc,unit_cost,ns_max
5,4,vehicle,30.0,1.0,5.0,9.0,3
5,4,vehicle,40.0,1.0,5.0,9.0,4
5,4,vehicle,50.0,1.0,5.0,9.0,5
5,4,vehicle,80.0,1.0,5.0,9.0,8
5,4,vehicle,100.0,1.0,5.0,9.0,11
5,4,vehicle,150.0,1.0,5.0,9.0,16
5,4,vehicle,200.0,1.0,5.0,9.0,22
5,4,transit,10.0,1.0,3.0,7.0,1
5,4,transit,20.0,1.0,3.0,7.0,2
5,4,transit,30.0,1.0,3.0,7.0,4
5,4,transit,40.0,1.0,3.0,7.0,5
5,4,transit,50.0,1.0,3.0,7.0,7
5,4,transit,80.0,1.0,3.0,7.0,11
5,4,transit,100.0,1.0,3.0,7.0,14
5,4,transit,150.0,1.0,3.0,7.0,21
5,4,transit,200.0,1.0,3.0,7.0,28
5,5,walk,10.0,1.0,0.0,5.0,2
5,5,walk,20.0,1.0,0.0,5.0,4
5,5,walk,30.0,1.0,0.0,5.0,6
5,5,walk,40.0,1.0,0.0,5.0,8
5,5,walk,50.0,1.0,0.0,5.0,10
5,5,walk,80.0,1.0,0.0,5.0,16
5,5,walk,100.0,1.0,0.0,5.0,20
5,5,walk,150.0,1.0,0.0,5.0,30
5,5,walk,200.0,1.0,0.0,5.0,40
5,5,bike,10.0,1.0,1.0,6.0,1
5,5,bike,20.0,1.0,1.0,6.0,3
5,5,bike,30.0,1.0,1.0,6.0,5
5,5,bike,40.0,1.0,1.0,6.0,6
5,5,bike,50.0,1.0,1.0,6.0,8
5,5,bike,80.0,1.0,1.0,6.0,13
5,5,bike,100.0,1.0,1.0,6.0,16
5,5,bike,150.0,1.0,1.0,6.0,25
5,5,bike,200.0,1.0,1.0,6.0,33
5,5,vehicle,10.0,1.0,5.0,10.0,1
5,5,vehicle,20.0,1.0,5.0,10.0,2
5,5,vehicle,30.0,1.0,5.0,10.0,3
5,5,vehicle,40.0,1.0,5.0,10.0,4
5,5,vehicle,50.0,1.0,5.0,10.0,5
5,5,vehicle,80.0,1.0,5.0,10.0,8
5,5,vehicle,100.0,1.0,5.0,10.0,10
