cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
60,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
60,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
120,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
120,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
300,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
300,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
60,rome,coarse,0.006623763021304628,0.003311881510652314,0.003311881510652314,2,0.006292574870239396,cell,0.5,0,8
60,rome,coarse,0.10826245443499392,0.05627370534332936,0.06051382739147536,10,0.0944681543826659,cell,1.0,200,0
60,rome,coarse,0.011288805268109126,0.006511127602507744,0.006623763021304628,5,0.010645574991480236,intra_cell,0.8,0,5
60,rome,coarse,0.12972863507492913,0.06765148779011293,0.06891276725106543,10,0.11436109736270682,intra_cell,1.0,200,0
120,rome,coarse,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
120,rome,coarse,0.27561282212445004,0.1654391932555585,0.15210731602731142,10,0.23648731897063283,cell,1.0,200,0
120,rome,coarse,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
120,rome,coarse,0.43274670018856065,0.25732268320628876,0.2340189311272395,10,0.40200716397694786,intra_cell,1.0,200,0
300,rome,coarse,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
300,rome,coarse,0.27561282212445004,0.1654391932555585,0.15210731602731142,10,0.23648731897063283,cell,1.0,200,0
300,rome,coarse,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
300,rome,coarse,0.43274670018856065,0.25732268320628876,0.2340189311272395,10,0.40200716397694786,intra_cell,1.0,200,0
60,rome,fine,0.006623763021304628,0.003311881510652314,0.003311881510652314,2,0.006292574870239396,cell,0.5,0,8
60,rome,fine,0.10733090319967598,0.055942491977106656,0.06051382739147536,10,0.09395580120324101,cell,1.0,200,0
60,rome,fine,0.011288805268109126,0.006511127602507744,0.006623763021304628,5,0.010645574991480236,intra_cell,0.8,0,5
60,rome,fine,0.12972863507492913,0.06741436516384511,0.06891276725106543,10,0.11436109736270682,intra_cell,1.0,200,0
120,rome,fine,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
120,rome,fine,0.19686411149825783,0.16321482612436478,0.15816572530651607,10,0.19317552812622704,cell,1.0,200,0
120,rome,fine,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
120,rome,fine,0.3710801393728223,0.2520522173866159,0.2340189311272395,10,0.36809055552829173,intra_cell,1.0,200,0
300,rome,fine,0.11971830985915492,0.05985915492957746,0.05985915492957746,2,0.11373239436619717,cell,0.5,0,8
300,rome,fine,0.19686411149825783,0.16321482612436478,0.15816572530651607,10,0.19317552812622704,cell,1.0,200,0
300,rome,fine,0.12412177985948478,0.06525549974250369,0.048761609907120744,5,0.1232410858594188,intra_cell,0.8,0,5
