branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity_osnma_lifted,rome:60:155-0-s253:p0,25,2,25,0.025110782865583457,
no_cadence,rome:60:155-0-s253:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:155-0-s266:p0,25,2,25,0.0,
no_continuity,rome:60:155-0-s266:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:155-0-s266:p0,25,2,25,0.02009273570324575,
no_cadence,rome:60:155-0-s266:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:156-0-s76:p0,25,2,25,0.0,
no_continuity,rome:60:156-0-s76:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:156-0-s76:p0,25,2,25,0.0642255584035152,
no_cadence,rome:60:156-0-s76:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:157-0-s98:p0,25,2,25,0.0,
no_continuity,rome:60:157-0-s98:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:157-0-s98:p0,25,2,25,0.00397253767433827,
no_cadence,rome:60:157-0-s98:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:162-0-s40:p0,25,2,25,0.0,
no_continuity,rome:60:162-0-s40:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:162-0-s40:p0,25,2,25,0.1045653800919491,
no_cadence,rome:60:162-0-s40:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:162-0-s40:p1,25,2,25,0.0,
no_continuity,rome:60:162-0-s40:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:162-0-s40:p1,25,2,25,0.011466855633575985,
no_cadence,rome:60:162-0-s40:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:163-0-s105:p0,25,2,25,0.0,
no_continuity,rome:60:163-0-s105:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:163-0-s105:p0,25,2,25,0.06669640865491858,
no_cadence,rome:60:163-0-s105:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:167-0-s26:p0,25,2,25,0.0,
no_continuity,rome:60:167-0-s26:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:167-0-s26:p0,25,2,25,0.03578780680918448,
no_cadence,rome:60:167-0-s26:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:167-0-s73:p0,25,2,25,0.0,
no_continuity,rome:60:167-0-s73:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:167-0-s73:p0,25,2,25,0.027614523790355044,
no_cadence,rome:60:167-0-s73:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:172-0-s6:p0,25,2,25,0.0,
no_continuity,rome:60:172-0-s6:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:172-0-s6:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:172-0-s6:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:178-0-s37:p0,25,2,25,0.0,
no_continuity,rome:60:178-0-s37:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:178-0-s37:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:178-0-s37:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:178-1-s43:p0,25,2,25,0.0,
no_continuity,rome:60:178-1-s43:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:178-1-s43:p0,25,2,25,0.07027027027027027,
no_cadence,rome:60:178-1-s43:p0,25,2,24,0.0,
no_zone_binding,rome:60:185-0-s124:p0,25,2,25,0.0,
no_continuity,rome:60:185-0-s124:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:185-0-s124:p0,25,2,25,0.009466635880858923,
no_cadence,rome:60:185-0-s124:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:185-0-s150:p0,25,2,25,0.0,
no_continuity,rome:60:185-0-s150:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:185-0-s150:p0,25,2,25,0.08445480555261206,
no_cadence,rome:60:185-0-s150:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:193-0-s204:p0,25,2,25,0.0,
no_continuity,rome:60:193-0-s204:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:193-0-s204:p0,25,2,25,0.001322970067802216,
no_cadence,rome:60:193-0-s204:p0,25,2,25,0.001322970067802216,
no_zone_binding,rome:60:213-0-s41:p0,25,2,25,0.0,
no_continuity,rome:60:213-0-s41:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:213-0-s41:p0,25,2,25,0.025181598062953996,
no_cadence,rome:60:213-0-s41:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:213-0-s41:p1,25,2,25,0.0,
no_continuity,rome:60:213-0-s41:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:213-0-s41:p1,25,2,25,0.015246636771300448,
no_cadence,rome:60:213-0-s41:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:213-0-s66:p0,25,2,25,0.0,
no_continuity,rome:60:213-0-s66:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:213-0-s66:p0,25,2,25,0.05747747747747748,
