adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
16716,60,3972,True,geolife,100,100.0,coarse,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,60,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
14613,60,3871,True,geolife,100,400.0,coarse,17357,17,900,cell,100,010-20080917225654-0,400,0.15809183614679956,,4091
17323,60,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,60,3822,True,geolife,100,170.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,60,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14029,60,3707,True,geolife,100,470.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
17323,120,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,120,3972,True,geolife,100,100.0,coarse,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,120,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
14613,120,3871,True,geolife,100,400.0,coarse,17357,17,900,cell,100,010-20080917225654-0,400,0.15809183614679956,,4091
17323,120,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,120,3822,True,geolife,100,170.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,120,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14029,120,3707,True,geolife,100,470.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
17323,300,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,300,3972,True,geolife,100,100.0,coarse,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,300,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
14613,300,3871,True,geolife,100,400.0,coarse,17357,17,900,cell,100,010-20080917225654-0,400,0.15809183614679956,,4091
17323,300,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,300,3822,True,geolife,100,170.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,300,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14029,300,3707,True,geolife,100,470.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
17323,60,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,60,3972,True,geolife,100,100.0,medium,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,60,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15261,60,3887,True,geolife,100,400.0,medium,17357,17,900,cell,100,010-20080917225654-0,400,0.12075819554070404,,4091
17323,60,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,60,3822,True,geolife,100,170.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,60,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14055,60,3675,True,geolife,100,470.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19024024889093738,,4091
17323,120,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,120,3972,True,geolife,100,100.0,medium,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,120,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15261,120,3887,True,geolife,100,400.0,medium,17357,17,900,cell,100,010-20080917225654-0,400,0.12075819554070404,,4091
17323,120,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,120,3822,True,geolife,100,170.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,120,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14055,120,3675,True,geolife,100,470.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19024024889093738,,4091
17323,300,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,300,3972,True,geolife,100,100.0,medium,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,300,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15261,300,3887,True,geolife,100,400.0,medium,17357,17,900,cell,100,010-20080917225654-0,400,0.12075819554070404,,4091
17323,300,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,300,3822,True,geolife,100,170.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15666,300,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
14055,300,3675,True,geolife,100,470.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19024024889093738,,4091
17323,60,4041,True,geolife,100,0.0,fine,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,60,3972,True,geolife,100,100.0,fine,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,60,3922,True,geolife,100,200.0,fine,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15249,60,3883,True,geolife,100,400.0,fine,17357,17,900,cell,100,010-20080917225654-0,400,0.12144955925563174,,4091
17323,60,4041,True,geolife,100,70.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,60,3822,True,geolife,100,170.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15641,60,3737,True,geolife,100,270.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09886501123466036,,4091
14029,60,3707,True,geolife,100,470.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
17323,120,4041,True,geolife,100,0.0,fine,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,120,3972,True,geolife,100,100.0,fine,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,120,3922,True,geolife,100,200.0,fine,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15249,120,3883,True,geolife,100,400.0,fine,17357,17,900,cell,100,010-20080917225654-0,400,0.12144955925563174,,4091
17323,120,4041,True,geolife,100,70.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,120,3822,True,geolife,100,170.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15641,120,3737,True,geolife,100,270.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09886501123466036,,4091
14029,120,3707,True,geolife,100,470.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,400,0.19173820360661403,,4091
17323,300,4041,True,geolife,100,0.0,fine,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16716,300,3972,True,geolife,100,100.0,fine,17357,17,900,cell,100,010-20080917225654-0,100,0.03693034510572103,,4091
16166,300,3922,True,geolife,100,200.0,fine,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
15249,300,3883,True,geolife,100,400.0,fine,17357,17,900,cell,100,010-20080917225654-0,400,0.12144955925563174,,4091
17323,300,4041,True,geolife,100,70.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
16066,300,3822,True,geolife,100,170.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,100,0.07437921299763785,,4091
15641,300,3737,True,geolife,100,270.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09886501123466036,,4091
