adversarial_min_fee_cents,cadence_sec,claimed_distance_m,claimed_path,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,path_changed_fixes,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m,true_path
5784,120,482,"[301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,402,303,301]",True,rome,50,270.71067811865476,medium,7104,25,700,25,intra_cell,100,rome:60:297-1-s52:p0,200,0.1858108108108108,,592,"[202,402,402,402,402,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502]"
12844,120,1228,"[1010,1111,1212,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1413,1512,1413,1512,1413,1314]",True,rome,50,270.71067811865476,medium,15742,25,700,25,intra_cell,100,rome:60:109-0-s32:p0,200,0.18409350781349257,,1408,"[908,1112,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
7640,120,764,"[1213,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1312,1411,1312,1411,1312]",True,rome,50,270.71067811865476,medium,9348,25,700,25,intra_cell,100,rome:60:234-0-s260:p0,200,0.18271287976037656,,882,"[1215,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513]"
10320,120,1032,"[1411,1415,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209]",True,rome,50,270.71067811865476,medium,12626,25,700,25,intra_cell,100,rome:60:185-0-s150:p0,200,0.18263899889117693,,1158,"[1413,1313,1010,1208,1207,1207,1207,1207,1208,1207,1207,1208,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207]"
8472,120,706,"[512,512,613,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,811,910,811]",True,rome,50,270.71067811865476,medium,10332,25,700,25,intra_cell,100,rome:60:214-0-s203:p0,200,0.1800232288037166,,861,"[414,514,514,1010,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
8460,120,705,"[302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,201,100,1,100,1]",True,rome,50,270.71067811865476,medium,10296,25,700,25,intra_cell,100,rome:60:326-0-s63:p1,200,0.17832167832167833,,858,"[502,502,502,502,502,502,502,301,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
11610,120,1048,"[814,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1111,1212,1213,1212,1010]",True,rome,50,270.71067811865476,medium,14100,25,700,8,intra_cell,100,rome:60:46-0-s65:p0,200,0.17659574468085107,,1175,"[615,910,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
8460,120,705,"[708,809,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,811,910,811]",True,rome,50,270.71067811865476,medium,10248,25,700,25,intra_cell,100,rome:60:109-0-s11:p0,200,0.17447306791569087,,854,"[606,909,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
17366,120,1592,"[404,404,404,404,404,503,803,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1111,1212,1111]",True,rome,50,270.71067811865476,medium,21024,25,700,23,intra_cell,100,rome:60:128-0-s82:p0,200,0.1739916286149163,,1752,"[302,403,404,404,406,605,805,908,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1112]"
20441,120,1901,"[108,605,803,1211,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310]",True,rome,50,270.71067811865476,medium,24720,25,700,25,intra_cell,100,rome:60:290-0-s103:p0,200,0.17309870550161813,,2060,"[7,506,805,1010,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308]"
