tau,tau2,seed,attack_type,malicious_rate,tpr_attack,benign_frr,attack_round_csv,benign_round_csv,attack_log,benign_log
4,4,2,gradual_drift,0.10,0.992855,0.192000,experiments/round_metrics_20260423_005521.csv,experiments/round_metrics_20260423_011856.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau24_s2_j55.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau24_s2_j55.log
4,4,3,gradual_drift,0.10,0.950000,0.192000,experiments/round_metrics_20260423_014130.csv,experiments/round_metrics_20260423_020502.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau24_s3_j56.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau24_s3_j56.log
4,5,1,gradual_drift,0.10,0.950000,0.192000,experiments/round_metrics_20260423_014130.csv,experiments/round_metrics_20260423_020520.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau25_s1_j57.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau25_s1_j57.log
4,5,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_014308.csv,experiments/round_metrics_20260423_020630.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau25_s2_j58.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau25_s2_j58.log
4,5,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_014308.csv,experiments/round_metrics_20260423_020612.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau4_tau25_s3_j59.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau4_tau25_s3_j59.log
5,1,1,gradual_drift,0.10,0.900000,0.192000,experiments/round_metrics_20260423_022909.csv,experiments/round_metrics_20260423_025315.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau21_s1_j60.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau21_s1_j60.log
5,1,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_022926.csv,experiments/round_metrics_20260423_025340.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau21_s2_j61.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau21_s2_j61.log
5,1,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_023055.csv,experiments/round_metrics_20260423_025503.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau21_s3_j62.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau21_s3_j62.log
5,2,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_023055.csv,experiments/round_metrics_20260423_025458.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau22_s1_j63.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau22_s1_j63.log
5,2,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260423_031810.csv,experiments/round_metrics_20260423_034225.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau5_tau22_s2_j64.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau5_tau22_s2_j64.log
