branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,1,25,0.7623706491063029,
no_continuity,rome:60:127-0-s273:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,2,25,0.7659454374412041,
no_continuity,rome:60:127-0-s273:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,3,25,0.7659454374412041,
no_continuity,rome:60:127-0-s273:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,4,25,0.7689557855126999,
no_continuity,rome:60:128-0-s16:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s16:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s16:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s16:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s16:p1,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p1,25,1,25,0.9861493123772103,
no_continuity,rome:60:128-0-s16:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p1,25,2,25,0.9861493123772103,
no_continuity,rome:60:128-0-s16:p1,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p1,25,3,25,0.9861493123772103,
no_continuity,rome:60:128-0-s16:p1,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p1,25,4,25,0.9861493123772103,
no_continuity,rome:60:128-0-s65:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s65:p0,25,1,25,0.9860891870560379,
no_continuity,rome:60:128-0-s65:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s65:p0,25,2,25,0.9860891870560379,
no_continuity,rome:60:128-0-s65:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s65:p0,25,3,25,0.9860891870560379,
no_continuity,rome:60:128-0-s65:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s65:p0,25,4,25,0.9860891870560379,
no_continuity,rome:60:128-0-s82:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p0,25,1,25,0.854932134520619,
no_continuity,rome:60:128-0-s82:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p0,25,2,25,0.8558831157603527,
no_continuity,rome:60:128-0-s82:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p0,25,3,25,0.8572663611999655,
no_continuity,rome:60:128-0-s82:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p0,25,4,25,0.8572663611999655,
no_continuity,rome:60:128-0-s82:p1,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p1,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s82:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p1,25,2,25,0.9817411150961852,
no_continuity,rome:60:128-0-s82:p1,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p1,25,3,25,0.9817411150961852,
no_continuity,rome:60:128-0-s82:p1,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p1,25,4,25,0.9817411150961852,
no_continuity,rome:60:128-0-s82:p2,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p2,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s82:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s82:p2,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p2,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:128-0-s82:p2,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s82:p2,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:134-0-s99:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,1,25,0.9884653141361257,
no_continuity,rome:60:134-0-s99:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,2,25,0.9884653141361257,
no_continuity,rome:60:134-0-s99:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,3,25,0.9884653141361257,
no_continuity,rome:60:134-0-s99:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:134-0-s99:p0,25,4,25,0.9884653141361257,
no_continuity,rome:60:137-0-s71:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,1,25,0.9489801324503311,
no_continuity,rome:60:137-0-s71:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,2,25,0.9498807947019867,
no_continuity,rome:60:137-0-s71:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,3,25,0.9498807947019867,
no_continuity,rome:60:137-0-s71:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p0,25,4,25,0.9498807947019867,
no_continuity,rome:60:137-0-s71:p1,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:137-0-s71:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:137-0-s71:p1,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:137-0-s71:p1,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p1,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:137-0-s71:p2,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,1,25,0.976583754372328,
no_continuity,rome:60:137-0-s71:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,2,25,0.976583754372328,
no_continuity,rome:60:137-0-s71:p2,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,3,25,0.976583754372328,
no_continuity,rome:60:137-0-s71:p2,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:137-0-s71:p2,25,4,25,0.976583754372328,
no_continuity,rome:60:140-0-s121:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,1,25,0.9913141665942847,
no_continuity,rome:60:140-0-s121:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,2,25,0.9913141665942847,
no_continuity,rome:60:140-0-s121:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,3,25,0.9913141665942847,
no_continuity,rome:60:140-0-s121:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,4,25,0.9913141665942847,
no_continuity,rome:60:140-0-s121:p1,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:140-0-s121:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:140-0-s121:p1,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:140-0-s121:p1,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:149-0-s182:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,1,25,0.9366766467065868,
no_continuity,rome:60:149-0-s182:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,2,25,0.9366766467065868,
no_continuity,rome:60:149-0-s182:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,3,25,0.9366766467065868,
no_continuity,rome:60:149-0-s182:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,4,25,0.9366766467065868,
no_continuity,rome:60:149-0-s21:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p0,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:149-0-s21:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:149-0-s21:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p0,25,3,0,0.0,no feasible adversarial claim under enabled constraints
