branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_cadence,rome:60:137-0-s71:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:140-0-s121:p0,25,2,25,0.00041981528127623844,
no_continuity,rome:60:140-0-s121:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p0,25,2,25,0.0025188916876574307,
no_cadence,rome:60:140-0-s121:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:140-0-s121:p1,25,2,25,0.000467542694030218,
no_continuity,rome:60:140-0-s121:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:140-0-s121:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:140-0-s121:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s182:p0,25,2,25,0.006568165042349026,
no_continuity,rome:60:149-0-s182:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s182:p0,25,2,25,0.05373384544169346,
no_cadence,rome:60:149-0-s182:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p0,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p1,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p1,25,2,25,0.0004463887152932774,
no_cadence,rome:60:149-0-s21:p1,25,2,25,0.0004463887152932774,
no_zone_binding,rome:60:149-0-s21:p2,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:149-0-s21:p3,25,2,25,0.0,
no_continuity,rome:60:149-0-s21:p3,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:149-0-s21:p3,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:149-0-s21:p3,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:150-0-s108:p0,25,2,25,0.0,
no_continuity,rome:60:150-0-s108:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:150-0-s108:p0,25,2,25,0.009524148612322645,
no_cadence,rome:60:150-0-s108:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:153-0-s12:p0,25,2,25,0.0011347937635681864,
no_continuity,rome:60:153-0-s12:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:153-0-s12:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:153-0-s12:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
