baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
ldp,1.0,0.3,random,5,50,13,0.0,0.0,0.010101010101010102,409.5272529287632,37.548410530264256
ldp,1.0,0.3,random,6,50,13,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.3,random,7,50,13,0.0,0.0,0.010101010101010102,409.52583869364395,35.11083972701283
ldp,1.0,0.3,random,8,50,13,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.3,random,9,50,13,0.0,0.0,0.0,409.5300813843502,30.240748623122887
ldp,1.0,0.3,random,10,50,13,0.0,0.0,0.0,409.5300813843502,30.24074862312291
ldp,1.0,0.5,random,1,50,31,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.5,random,2,50,31,0.0,0.0,0.0,409.5314956048181,15.620374311102385
ldp,1.0,0.5,random,3,50,31,0.0,0.0,0.0,409.5314956048181,15.62037431110238
ldp,1.0,0.5,random,4,50,31,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.5,random,5,50,31,0.0,0.0,0.0,409.5314956048181,15.620374311102376
ldp,1.0,0.5,random,6,50,31,0.0,0.0,0.010101010101010102,409.52583869364395,35.11083972701284
ldp,1.0,0.5,random,7,50,31,0.0,0.0,0.010101010101010102,409.52442445364085,49.73121403903335
ldp,1.0,0.5,random,8,50,31,0.0,0.0,0.0,409.5286671589986,44.86112293514342
ldp,1.0,0.5,random,9,50,31,0.0,0.0,0.0,409.5329098204024,0.9999999990818602
ldp,1.0,0.5,random,10,50,31,0.0,0.0,0.010101010101010102,409.52866715899853,22.928036218243754
eiffel,1.0,0.0,random,1,50,0,0.0,0.0,0.17647058823529413,0.29223278392404917,0.8992845109586369
eiffel,1.0,0.0,random,2,50,0,0.0,0.0,0.17647058823529413,0.2908607914449797,0.9024410766109413
eiffel,1.0,0.0,random,3,50,0,0.0,0.0,0.19047619047619047,0.29017236257093815,0.9013888880613656
eiffel,1.0,0.0,random,4,50,0,0.0,0.0,0.17647058823529413,0.29120439557122074,0.9009680126399991
eiffel,1.0,0.0,random,5,50,0,0.0,0.0,0.14942528735632185,0.29120439557122074,0.8986531978288845
eiffel,1.0,0.0,random,6,50,0,0.0,0.0,0.16279069767441862,0.2908607914449797,0.8979377096148828
eiffel,1.0,0.0,random,7,50,0,0.0,0.0,0.13636363636363635,0.29257477676655586,0.8943602685420539
eiffel,1.0,0.0,random,8,50,0,0.0,0.0,0.19047619047619047,0.2908607914449797,0.9006733998457154
eiffel,1.0,0.0,random,9,50,0,0.0,0.0,0.17647058823529413,0.2908607914449797,0.9006733998457154
