cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
60,geolife,medium,0.24658559401309635,0.18119400218060985,0.19677832182444704,14,0.23419925799275343,intra_cell,1.0,400,0
120,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,medium,0.12067352666043031,0.04913723162968955,0.048122516640023066,14,0.08497094559875623,cell,0.9285714285714286,100,0
120,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
120,geolife,medium,0.22600561272217026,0.15288823706947557,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
120,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,medium,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
120,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
120,geolife,medium,0.24658559401309635,0.18119400218060985,0.19677832182444704,14,0.23419925799275343,intra_cell,1.0,400,0
300,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,medium,0.12067352666043031,0.04913723162968955,0.048122516640023066,14,0.08497094559875623,cell,0.9285714285714286,100,0
300,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
300,geolife,medium,0.22600561272217026,0.15288823706947557,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
300,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,medium,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
300,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
300,geolife,medium,0.24658559401309635,0.18119400218060985,0.19677832182444704,14,0.23419925799275343,intra_cell,1.0,400,0
60,porto,coarse,0.0,0.0,0.0,1,0.0,cell,0.0,0,7
60,porto,coarse,0.1705348133198789,0.11833446486422798,0.11090965122102864,8,0.1589767212678371,cell,1.0,100,0
60,porto,coarse,0.17964071856287425,0.14810560594700575,0.147167663128335,8,0.17645365172782587,cell,1.0,200,0
60,porto,coarse,0.17964071856287425,0.14979903294148644,0.147167663128335,8,0.17645365172782587,cell,1.0,400,0
60,porto,coarse,0.146866230121609,0.0734331150608045,0.0734331150608045,2,0.13952291861552854,intra_cell,0.5,0,6
60,porto,coarse,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
60,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,200,0
60,porto,coarse,0.27944111776447106,0.21760919215697772,0.20762017270500516,8,0.27664177195558426,intra_cell,1.0,400,0
120,porto,coarse,0.0,0.0,0.0,1,0.0,cell,0.0,0,7
120,porto,coarse,0.1705348133198789,0.11833446486422798,0.11090965122102864,8,0.1589767212678371,cell,1.0,100,0
120,porto,coarse,0.17964071856287425,0.14810560594700575,0.147167663128335,8,0.17645365172782587,cell,1.0,200,0
120,porto,coarse,0.17964071856287425,0.14979903294148644,0.147167663128335,8,0.17645365172782587,cell,1.0,400,0
120,porto,coarse,0.146866230121609,0.0734331150608045,0.0734331150608045,2,0.13952291861552854,intra_cell,0.5,0,6
120,porto,coarse,0.2714429868819374,0.20857790892052136,0.20271602647228115,8,0.2665577019523012,intra_cell,1.0,100,0
