dataset,period_id,mode,empirical_anonymity_set,empirical_entropy_bits,distance_tol_m,fee_tol_cents
geolife,098-20070526102144-1,mixed_statement,1,0.0,380,
geolife,098-20070526102144-1,odometer_only_statement,1,0.0,380,
geolife,105-20071006051353-0,zone_priced_statement,1,0.0,966,4380
geolife,105-20071006051353-0,mixed_statement,1,0.0,966,
geolife,105-20071006051353-0,odometer_only_statement,1,0.0,966,
geolife,106-20071009234753-7,zone_priced_statement,1,0.0,422,2108
geolife,106-20071009234753-7,mixed_statement,1,0.0,422,
geolife,106-20071009234753-7,odometer_only_statement,1,0.0,422,
geolife,108-20071003230234-1,zone_priced_statement,2,1.0,100,500
geolife,108-20071003230234-1,mixed_statement,2,1.0,100,
geolife,108-20071003230234-1,odometer_only_statement,2,1.0,100,
geolife,111-20070419131853-2,zone_priced_statement,1,0.0,100,500
geolife,111-20070419131853-2,mixed_statement,1,0.0,100,
geolife,111-20070419131853-2,odometer_only_statement,1,0.0,100,
geolife,125-20080913091957-0,zone_priced_statement,1,0.0,272,1362
geolife,125-20080913091957-0,mixed_statement,1,0.0,272,
geolife,125-20080913091957-0,odometer_only_statement,1,0.0,272,
geolife,125-20080913091957-1,zone_priced_statement,1,0.0,207,1036
geolife,125-20080913091957-1,mixed_statement,1,0.0,207,
geolife,125-20080913091957-1,odometer_only_statement,1,0.0,207,
geolife,139-20071003230234-1,zone_priced_statement,2,1.0,100,500
geolife,139-20071003230234-1,mixed_statement,2,1.0,100,
geolife,139-20071003230234-1,odometer_only_statement,2,1.0,100,
geolife,144-20080520024145-0,zone_priced_statement,1,0.0,220,1046
geolife,144-20080520024145-0,mixed_statement,1,0.0,220,
geolife,144-20080520024145-0,odometer_only_statement,1,0.0,220,
geolife,153-20080822093429-0,zone_priced_statement,2,1.0,379,1894
geolife,153-20080822093429-0,mixed_statement,2,1.0,379,
geolife,153-20080822093429-0,odometer_only_statement,2,1.0,379,
geolife,153-20090707012128-0,zone_priced_statement,1,0.0,442,2209
geolife,153-20090707012128-0,mixed_statement,1,0.0,442,
geolife,153-20090707012128-0,odometer_only_statement,1,0.0,442,
geolife,163-20070617061223-0,zone_priced_statement,1,0.0,549,2136
geolife,163-20070617061223-0,mixed_statement,1,0.0,549,
geolife,163-20070617061223-0,odometer_only_statement,1,0.0,549,
geolife,163-20070617061223-1,zone_priced_statement,1,0.0,100,500
geolife,163-20070617061223-1,mixed_statement,1,0.0,100,
geolife,163-20070617061223-1,odometer_only_statement,1,0.0,100,
geolife,163-20070715142911-0,zone_priced_statement,1,0.0,100,500
geolife,163-20070715142911-0,mixed_statement,1,0.0,100,
