dataset,placement,omit_policy,omit_fraction,cameras,empirical_p_detect,trials,tsip_p_detect_proof_violating,tsip_cameras
geolife,traffic_weighted_generous,random,0.1,175,0.660377,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,175,0.698113,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,200,0.679245,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,200,0.698113,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,200,0.679245,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,200,0.660377,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,250,0.735849,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,250,0.754717,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,250,0.716981,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,250,0.735849,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,300,0.849057,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,300,0.849057,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,300,0.867925,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,300,0.867925,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,350,0.981132,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,350,0.981132,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,350,1.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,350,1.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,370,1.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,370,1.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,370,1.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,370,1.0,53,1.0,0
porto,uniform_random,rational_topfee,0.1,1,0.033333,900,1.0,0
porto,uniform_random,rational_topfee,0.2,1,0.041111,900,1.0,0
porto,uniform_random,random,0.1,1,0.032222,900,1.0,0
porto,uniform_random,random,0.2,1,0.026667,900,1.0,0
porto,uniform_random,rational_topfee,0.1,2,0.051111,900,1.0,0
porto,uniform_random,rational_topfee,0.2,2,0.071111,900,1.0,0
porto,uniform_random,random,0.1,2,0.057778,900,1.0,0
porto,uniform_random,random,0.2,2,0.065556,900,1.0,0
porto,uniform_random,rational_topfee,0.1,5,0.13,900,1.0,0
porto,uniform_random,rational_topfee,0.2,5,0.18,900,1.0,0
porto,uniform_random,random,0.1,5,0.128889,900,1.0,0
porto,uniform_random,random,0.2,5,0.175556,900,1.0,0
porto,uniform_random,rational_topfee,0.1,10,0.275556,900,1.0,0
porto,uniform_random,rational_topfee,0.2,10,0.353333,900,1.0,0
porto,uniform_random,random,0.1,10,0.267778,900,1.0,0
porto,uniform_random,random,0.2,10,0.343333,900,1.0,0
porto,uniform_random,rational_topfee,0.1,20,0.514444,900,1.0,0
porto,uniform_random,rational_topfee,0.2,20,0.604444,900,1.0,0
porto,uniform_random,random,0.1,20,0.517778,900,1.0,0
porto,uniform_random,random,0.2,20,0.61,900,1.0,0
porto,uniform_random,rational_topfee,0.1,42,1.0,900,1.0,0
porto,uniform_random,rational_topfee,0.2,42,1.0,900,1.0,0
porto,uniform_random,random,0.1,42,1.0,900,1.0,0
porto,uniform_random,random,0.2,42,1.0,900,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,1,0.222222,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,1,0.222222,9,1.0,0
porto,traffic_weighted_generous,random,0.1,1,0.0,9,1.0,0
porto,traffic_weighted_generous,random,0.2,1,0.0,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,2,0.333333,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,2,0.333333,9,1.0,0
porto,traffic_weighted_generous,random,0.1,2,0.222222,9,1.0,0
porto,traffic_weighted_generous,random,0.2,2,0.111111,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,5,0.444444,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,5,0.555556,9,1.0,0
porto,traffic_weighted_generous,random,0.1,5,0.333333,9,1.0,0
porto,traffic_weighted_generous,random,0.2,5,0.555556,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,10,0.555556,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,10,0.666667,9,1.0,0
porto,traffic_weighted_generous,random,0.1,10,0.444444,9,1.0,0
porto,traffic_weighted_generous,random,0.2,10,0.444444,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,20,0.777778,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,20,0.888889,9,1.0,0
porto,traffic_weighted_generous,random,0.1,20,0.555556,9,1.0,0
porto,traffic_weighted_generous,random,0.2,20,0.666667,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.1,42,1.0,9,1.0,0
porto,traffic_weighted_generous,rational_topfee,0.2,42,1.0,9,1.0,0
porto,traffic_weighted_generous,random,0.1,42,1.0,9,1.0,0
porto,traffic_weighted_generous,random,0.2,42,1.0,9,1.0,0
rome,uniform_random,rational_topfee,0.1,1,0.004959,12300,1.0,0
